loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
6756877201,04/28/2020,ST JOSEPH CHURCH,240 N W Washington PO Box 2049,WHITE SALMON,WA,98672,08/21/2021,Paid in Full,18300,18300,Umpqua Bank,4,813110,Non-Profit Organization,Umpqua Bank,18510.07,06/30/2021
6822057201,04/28/2020,BEHAR COMPANY,1000 2nd Ave Ste 3230,SEATTLE,WA,98104-1021,12/19/2020,Paid in Full,18300,18300,Washington Trust Bank,2,531210,Corporation,Washington Trust Bank,18401.28,11/20/2020
6910027301,04/30/2020,SEATTLE DIRECT AUTO SALES LLC,5920 68TH ST SE,SNOHOMISH,WA,98290-6050,04/16/2021,Paid in Full,18300,18300,"Bank of America, National Association",2,441228,Corporation,"Bank of America, National Association",18455.93,03/10/2021
7485298104,07/23/2020,SOUTHERN BELLES ESPRESSO LLC,412 riverstone dr,richland,WA,99352,06/22/2021,Paid in Full,18300,18300,Banner Bank,5,311920,Partnership,Banner Bank,18450.41,05/25/2021
7491597002,04/07/2020,TYMBER & COMPANY LLC,823 AVENUE D,SNOHOMISH,WA,98290-2334,06/05/2021,Paid in Full,18300,18300,Coastal Community Bank,7,561990,Limited Liability Partnership,Coastal Community Bank,18495.53,05/06/2021
8431258102,07/25/2020,"COURTNEY RADDATZ, INC",3107 South Proctor Street,Tacoma,WA,98409-3228,06/22/2021,Paid in Full,18300,18300,DreamSpring,1,621399,Subchapter S Corporation,DreamSpring,18434.2,05/06/2021
8536407110,04/15/2020,360 SIGNS LLC,42 CONDON LN,PORT LUDLOW,WA,98365-9604,02/04/2021,Paid in Full,18300,18300,Sound Community Bank,2,339950,Limited  Liability Company(LLC),Sound Community Bank,18429.35,01/07/2021
8756767300,05/01/2020,BARB CHRISTENSEN,5724 S Mack Rd,Spokane,WA,99224,10/20/2021,Paid in Full,18300,18300,Banner Bank,1,531390,Sole Proprietorship,Banner Bank,18541.66,09/02/2021
8800737006,04/08/2020,EL POBRE DIABLO INC,109 Eastlake Ave E,Seattle,WA,98109-5404,02/04/2021,Paid in Full,18300,18300,Sound Community Bank,7,711310,Corporation,Sound Community Bank,18440.88,01/20/2021
8818537308,05/01/2020,STAN'S MOUNTAIN VIEW TOWING INC.,9000 Delridge Way S.W.,Seattle,WA,98106,06/18/2021,Paid in Full,18300,18300,Banner Bank,3,488410,Corporation,Banner Bank,18482.5,05/11/2021
9351018410,02/16/2021,REBECCA SHERWOOD,4434 39th Ave SW N/A,Seattle,WA,98116-4208,11/20/2021,Paid in Full,18300,18300,Customers Bank,1,541990,Independent Contractors,Customers Bank,18401.78,09/20/2021
