loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
9790017002,04/09/2020,NOTRE DAME PARISH,117 Allen Street,CHIPPEWA FALLS,WI,54729-2802,06/11/2021,Paid in Full,38600,38600,Citizens Community Federal National Association,4,813110,Non-Profit Organization,Citizens Community Federal National Association,39001.01,05/03/2021
8259257201,04/28/2020,VIC'S WHOLESALE INC,1911 W FOREST HOME AVE,MILWAUKEE,WI,53204-3749,02/06/2021,Paid in Full,38597,38597,North Shore Bank,4,424940,Corporation,North Shore Bank,38875.11,01/25/2021
9917098401,02/18/2021,LAW OFFICES OF PHILLIP JAMES ADDIS LLC,504 Main St Ste 200,La Crosse,WI,54601-4033,03/06/2021,Paid in Full,38590,38590,Park Bank National Association,7,541110,Limited  Liability Company(LLC),Park Bank National Association,39050.97,05/09/2022
2970148302,01/21/2021,MY OFFICE LOUNGE LLC,408 Galloway St,Eau Claire,WI,54703-3512,10/15/2021,Paid in Full,38587,38587,Citizens Community Federal National Association,9,722410,Limited  Liability Company(LLC),Citizens Community Federal National Association,38819.59,09/14/2021
1611677207,04/15/2020,RIDGEWOOD BAPTIST CHURCH,2720 N LILLY RD,BROOKFIELD,WI,53005,04/17/2021,Paid in Full,38585,38585,BMO Bank National Association,6,813110,Non-Profit Organization,BMO Bank National Association,38949.71,04/01/2021
1000437108,04/09/2020,"TRACY GROUP, INC.",525 KENOSHA ST,WALWORTH,WI,53184-9512,02/12/2021,Paid in Full,38584,38584,The First National Bank and Trust Company,4,236117,Subchapter S Corporation,The First National Bank and Trust Company,38862.66,01/08/2021
2270708303,01/20/2021,LANDRETTI & COMPANY LLC,6361 Briarcliff Ln,Middleton,WI,53562-3832,11/13/2021,Paid in Full,38572.5,38572.5,BMO Bank National Association,2,531320,Limited  Liability Company(LLC),BMO Bank National Association,38843.04,10/06/2021
9201177105,04/15/2020,"LANDRETTI & COMPANY, LLC",6361 BRIARCLIFF LN,MIDDLETON,WI,53562,04/17/2021,Paid in Full,38572.5,38572.5,BMO Bank National Association,2,531320,Limited  Liability Company(LLC),BMO Bank National Association,38937.09,04/01/2021
8471837805,06/05/2020,GUY W LAMBERG DBA,2301 W WISCONSIN AVE,MILWAUKEE,WI,53233-1825,05/20/2021,Paid in Full,38570,38570,Citizens Bank,7,722310,Sole Proprietorship,Citizens Bank,38895.47,04/13/2021
9092518510,03/12/2021,JUANITA'S ORGANIC TORTILLA COMPANY LLC,2601 W Beltline Hwy Ste 106,Madison,WI,53713-2319,10/14/2021,Paid in Full,38566.5,38566.5,Heartland CU,10,722513,Limited  Liability Company(LLC),Heartland CU,38749.29,09/08/2021
6117477105,04/14/2020,"NORTHRIDGE AUTOMOTIVE ENTERPRISES, INC.",W157 N11618 FOND DU LAC AVE,GERMANTOWN,WI,53022,05/19/2021,Paid in Full,38560,38560,BMO Bank National Association,10,722511,Corporation,BMO Bank National Association,38926.58,04/05/2021
6428787101,04/14/2020,"WORKSITE CARE, L.L.C.",223 E Main Street,REEDSBURG,WI,53959,11/11/2020,Paid in Full,38557.5,38557.5,Baraboo State Bank,4,621111,Limited  Liability Company(LLC),Baraboo State Bank,38752.43,10/20/2020
8647618309,01/29/2021,MAIN APPLIANCE SERVICE LLC,2870 Terra Ct Ste 3,Sun Prairie,WI,53590-9816,10/19/2021,Paid in Full,38551,38551,One Community Bank,8,811412,Limited  Liability Company(LLC),One Community Bank,38801.32,09/29/2021
9412427010,04/09/2020,"JT FORKLIFT SERVICE, LLC",5342 Zachary Dr,Racine,WI,53403-9752,01/08/2021,Paid in Full,38551,38551,Summit CU,3,333249,Subchapter S Corporation,Summit CU,38774.52,02/16/2021
8361168310,01/29/2021,KENOSHA AREA CHAMBER OF COMMERCE,600 52nd St Ste 130,Kenosha,WI,53140-3423,08/06/2021,Paid in Full,38548.1,38548.1,Community State Bank,4,813910,Corporation,Community State Bank,38722.36,07/20/2021
8372378505,03/09/2021,OPTIMUM SIGNS INC,W134N5504 Campbell Dr,Menomonee Falls,WI,53051-7032,11/13/2021,Paid in Full,38547,38547,"Associated Bank, National Association",2,339950,Corporation,"Associated Bank, National Association",38781.45,10/20/2021
6608587903,06/16/2020,LC ACADEMY CHILD DEVELOPMENT CENTER LLC,6900 N  43RD ST,MILWAUKEE,WI,53209-2217,01/13/2021,Paid in Full,38545,38545,"Associated Bank, National Association",8,624410,Limited  Liability Company(LLC),"Associated Bank, National Association",38750.93,12/30/2020
1522327205,04/15/2020,"LUTHER MEMORIAL EVANGELICAL LUTHERAN CHURCH, INC.",420 SOUTH 4TH ST,RIVER FALLS,WI,54022-2413,11/17/2020,Paid in Full,38543.82,38543.82,River Falls State Bank,3,813110,Non-Profit Organization,River Falls State Bank,38735.47,10/14/2020
7573448602,03/23/2021,MJAB MEDICAL LLC,1972 W Saddlebrook Ln,Mequon,WI,53097-1764,07/14/2021,Paid in Full,38540,38540,"U.S. Bank, National Association",2,622110,Limited  Liability Company(LLC),"U.S. Bank, National Association",38643.84,06/30/2021
9484187706,05/01/2020,THE FRONTIER LAB,W5027 COBBLESTONE RD,WALWORTH,WI,53184,05/20/2021,Paid in Full,38540,38540,BMO Bank National Association,2,,Limited  Liability Company(LLC),BMO Bank National Association,38900.06,04/13/2021
8068858404,02/12/2021,WAGNER SHELL 4611 LLC,709 S Superior St,Antigo,WI,54409-1765,02/08/2022,Paid in Full,38537,38537,Peoples State Bank,14,447110,Limited  Liability Company(LLC),Peoples State Bank,38892.4,01/18/2022
1616148305,01/19/2021,SIMPLE SCISSORS SALON INC.,201 E Milwaukee St,Janesville,WI,53545-3013,12/13/2021,Paid in Full,38536.32,38536.32,The First National Bank in Falfurrias,6,812112,Corporation,The First National Bank in Falfurrias,38853.17,11/22/2021
7858268306,01/28/2021,TWO RIVERS BEAUTY INCORPORATED,1604 Washington St,Two Rivers,WI,54241-3022,12/10/2021,Paid in Full,38535,38535,Community First CU,8,812112,Subchapter S Corporation,Community First CU,38831.67,11/10/2021
4463457201,04/27/2020,ADAMS SALES AND SERVICE LLC,PO Box 668,PLOVER,WI,54467,12/16/2020,Paid in Full,38532,38532,Simplicity CU,6,811111,Limited  Liability Company(LLC),Simplicity CU,38744.19,11/17/2020
9914368404,02/18/2021,"JENKINS HOME BUILDERS, INC.",200 E Elm St,River Falls,WI,54022-3185,09/25/2021,Paid in Full,38532,38532,"U.S. Bank, National Association",5,236115,Corporation,"U.S. Bank, National Association",38700.04,08/10/2021
1813507309,04/28/2020,GREAT LAKES POOL AND SPA INC.,2645 BOBOLINK DR,CEDARBURG,WI,53012,05/21/2021,Paid in Full,38531,38531,"U.S. Bank, National Association",5,453998,Subchapter S Corporation,"U.S. Bank, National Association",38905.61,04/19/2021
9389527202,04/28/2020,DOOBIES BEER JOINT INC,3701 DURAND AVE STE 345,RACINE,WI,53405-4469,05/13/2021,Paid in Full,38529,38529,"Associated Bank, National Association",13,722410,Sole Proprietorship,"Associated Bank, National Association",38913.23,04/29/2021
5016467305,04/30/2020,MILWAUKEE KOLLEL INC.,5007 West Keefe Ave.,Milwaukee,WI,53216,12/16/2021,Paid in Full,38528,38528,Cross River Bank,10,611310,Corporation,Cross River Bank,39131.78,11/24/2021
6590938310,01/27/2021,ONSTAGE AUDIO LLA,1430 N Ballard Rd,Appleton,WI,54911-4208,11/09/2021,Paid in Full,38525,38525,Community First CU,7,711130,Limited  Liability Company(LLC),Community First CU,38786.76,10/08/2021
1182448510,02/18/2021,MENNE BROS. CONSTRUCTION LLC,1529 6th St,Green Bay,WI,54304-2254,10/21/2021,Paid in Full,38524,38524,Nicolet National Bank,5,236115,Limited  Liability Company(LLC),Nicolet National Bank,38745.51,09/21/2021
1038137107,04/09/2020,BRIAN MARK FUNERAL HOME INC.,1000 Inman Parkway,BELOIT,WI,53511-1748,03/12/2021,Paid in Full,38523.12,38523.12,The First National Bank and Trust Company,3,812210,Corporation,The First National Bank and Trust Company,38761.75,02/12/2021
1571807301,04/28/2020,HAFERMAN BAR MANAGEMENT LLC,1514 OREGON ST,OSHKOSH,WI,54902-6920,09/14/2021,Paid in Full,38521,38521,"Associated Bank, National Association",7,722410,Limited  Liability Company(LLC),"Associated Bank, National Association",38822.83,08/11/2021
5812797006,04/06/2020,"THE BURG, LLC",134 W Water St,SHULLSBURG,WI,53586-7107,10/21/2021,Paid in Full,38520,38520,The Benton State Bank,10,722511,Limited  Liability Company(LLC),The Benton State Bank,38805.69,01/07/2021
7825697009,04/08/2020,RIVER FALLS MUTUAL INSURANCE,218 N MAIN ST,RIVER FALLS,WI,54022-2318,12/08/2020,Paid in Full,38520,38520,River Falls State Bank,4,524126,Corporation,River Falls State Bank,38730.79,11/02/2020
3042167205,04/16/2020,GOEHNER INVESTMENTS LLC,1516 Nakomis Ave,LA CROSSE,WI,54603,02/23/2021,Paid in Full,38516,38516,Citizens State Bank of La Crosse,8,531110,Limited  Liability Company(LLC),Citizens State Bank of La Crosse,38792.03,01/07/2021
8758498607,03/25/2021,MONROE FAMILY EYECARE LLC,1113 17th Ave,Monroe,WI,53566-2063,09/25/2021,Paid in Full,38515,38515,"U.S. Bank, National Association",5,621320,Limited  Liability Company(LLC),"U.S. Bank, National Association",38672.27,08/23/2021
1731267403,05/04/2020,CHI NGUYEN,820 N Edwards blvd,Lake Geneva,WI,53147-4618,03/04/2021,Paid in Full,38513.45,38513.45,Michigan State University FCU,10,812113,Sole Proprietorship,Michigan State University Federal Credit Union,38740.5,02/12/2021
5823257101,04/14/2020,BACKWOODS ELECTRIC LLC,N1150 Jahnke Lane,PEPIN,WI,54759-4728,12/01/2020,Paid in Full,38510.75,38510.75,Bank of Alma,5,238210,Limited  Liability Company(LLC),Bank of Alma,38708.65,10/20/2020
