loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
2683877103,04/11/2020,ECUMENICAL PARTNERSHIP FOR HOUSING INC,200 S MONROE AVE,GREEN BAY,WI,54301-4012,12/15/2020,Paid in Full,41100,41100,"Associated Bank, National Association",5,624229,Non-Profit Organization,"Associated Bank, National Association",41343.22,11/17/2020
3131747204,04/16/2020,VILLAGE TIRE AND AUTO INC,W172N12185 DIVISION RD,GERMANTOWN,WI,53022-1804,05/13/2021,Paid in Full,41100,41100,"Associated Bank, National Association",3,811111,Corporation,"Associated Bank, National Association",41514.38,04/21/2021
3316227110,04/11/2020,"NORTHLAND FRAMES AND GIFTS, INC",1833 EXECUTIVE DR Ste 105B,OCONOMOWOC,WI,53066-4832,03/09/2021,Paid in Full,41100,41100,Bank Five Nine,5,453220,Corporation,Bank Five Nine,41422.04,02/02/2021
3748527110,04/12/2020,ALLIED STONE LLC,3785 Willow Branch Rd. PO Box 368,LANCASTER,WI,53813-0368,02/06/2021,Paid in Full,41100,41100,Community First Bank,4,212321,Limited  Liability Company(LLC),Community First Bank,41396.83,01/08/2021
4406288503,02/25/2021,TENTS INCORPORATED OF SHEBOYGAN COUNTY,4634 S Frontage Rd,Sheboygan,WI,53081-8487,11/06/2021,Paid in Full,41100,41100,National Exchange Bank and Trust,5,812990,Corporation,National Exchange Bank and Trust,41361.24,10/25/2021
4672907103,04/13/2020,RAPIDS RENTAL & SUPPLY CO. INC,3650 8th Street South,WISCONSIN RAPIDS,WI,54494-6556,04/14/2021,Paid in Full,41100,41100,WoodTrust Bank,5,333112,Corporation,WoodTrust Bank,41455.82,03/05/2021
4763747000,04/04/2020,"RIVERSIDE BIKE & SKATE SHOP, INC.",937 Water Street,EAU CLAIRE,WI,54703-5640,01/22/2021,Paid in Full,41100,41100,Citizens Community Federal National Association,11,451110,Corporation,Citizens Community Federal National Association,41408.25,12/31/2020
5649187010,04/06/2020,"PINE MEADOW GOLF CLUB & DINING, INC",4324 FAIRFAX PARK DR,EAU CLAIRE,WI,54701-7990,08/10/2021,Paid in Full,41100,41100,Security Financial Bank,12,722511,Subchapter S Corporation,Security Financial Bank,41584.07,08/03/2021
5788978900,04/30/2021,O'BRIEN ANDERSON BURGY & GARBOWICZ LLP,221 S 1st St,Eagle River,WI,54521-7307,11/17/2021,Paid in Full,41100,41100,Nicolet National Bank,3,541110,Limited Liability Partnership,Nicolet National Bank,41271.25,10/08/2021
6022867003,04/06/2020,"NEW HORIZONS VISION THERAPY CENTER, LLC",1021 Quinn Dr STE 400,WAUNAKEE,WI,53597-2502,03/10/2021,Paid in Full,41100,41100,Fortifi Bank,5,621320,Limited  Liability Company(LLC),Fortifi Bank,41442.31,02/16/2021
6603337006,04/07/2020,MEISTER'S PLACE INC,1402 COUNTY RD A,NEW RICHMOND,WI,54017-7706,02/16/2021,Paid in Full,47100,41100,Citizens State Bank,11,722410,Corporation,Citizens State Bank,41399.52,01/07/2021
7325057009,04/07/2020,"NOREEN FAMILY HOMES, INC",E5901 800TH AVE,MENOMONIE,WI,54751-5913,02/10/2021,Paid in Full,41100,41100,Peoples State Bank of Plainview,9,623210,Corporation,Peoples State Bank of Plainview,41399.52,01/07/2021
7332667002,04/07/2020,"CUSTOM HEALTH PHARMACY, INC.",1011 S 10th Street Suite 101,MANITOWOC,WI,54220-5209,01/14/2021,Paid in Full,41100,41100,"Bank First, N.A.",6,446110,Subchapter S Corporation,"Bank First, N.A.",41351.7,02/16/2021
9484787110,04/15/2020,ACTIVE SALES INC,3356 COUNTY ROAD Q,COLGATE,WI,53017-9301,05/13/2021,Paid in Full,41100,41100,"PNC Bank, National Association",5,811111,Corporation,"PNC Bank, National Association",41514.42,04/22/2021
9829857005,04/09/2020,"GRIMM TAILS VETRINARY CLINIC OF VIROQUA, INC.",1330 N MAIN ST,VIROQUA,WI,54665-1149,11/11/2020,Paid in Full,41100,41100,Royal Bank,7,541940,Corporation,Royal Bank,41313.49,10/20/2020
6148228404,02/10/2021,VICTORY HOMES FOR BOYS INC.,W 4705 Walace Rd,Amberg,WI,54102,12/10/2021,Paid in Full,41096,41096,The Stephenson National Bank and Trust,17,611710,Non-Profit Organization,The Stephenson National Bank and Trust,41383.67,11/01/2021
9864107009,04/09/2020,"LIVING OUR VISIONS, INC.",811 E Washington Ave Suite 500,MADISON,WI,53703-2935,12/11/2020,Paid in Full,41095,41095,Summit CU,5,623210,Non-Profit Organization,Summit CU,41344.95,11/27/2020
6141187210,04/27/2020,"VICTORY HOME FOR BOYS, INC.",4705 WALLACE RD,AMBERG,WI,54102-9037,05/08/2021,Paid in Full,41090,41090,The Stephenson National Bank and Trust,17,623990,Non-Profit Organization,The Stephenson National Bank and Trust,41296.59,11/05/2020
9327447109,04/15/2020,"PEDIATRIC ASSOCIATED THERAPISTS, INC.",716 WELLSEY RD,MADISON,WI,53705,05/20/2021,Paid in Full,41087.5,41087.5,BMO Bank National Association,5,622110,Corporation,BMO Bank National Association,41484.87,04/13/2021
8216517305,05/01/2020,"PHOTONIC CLEANING TECHNOLOGIES, LLC",1895 Short Lane Bldgs 1&2,Platteville,WI,53818,06/22/2021,Paid in Full,41087,41087,WebBank,9,561720,Limited  Liability Company(LLC),WebBank,41510.42,05/10/2021
9346107107,04/15/2020,KD FENCING LTD,11932 120th St,FRANKSVILLE,WI,53126,01/16/2021,Paid in Full,41086,41085,Tri City National Bank,7,561730,Subchapter S Corporation,Tri City National Bank,41369.17,12/30/2020
1842007409,05/05/2020,AB HANDYMAN & CONSTRUCTION LLC,694 W FLANNER RD,KRONENWETTER,WI,54455-9291,11/18/2021,Charged Off,41080,41080,"Bank of America, National Association",9,238990,Corporation,"Bank of America, National Association",,
9158507003,04/09/2020,EMERALD PROFESSIONAL STAFFING INC,11200 234TH CT,TREVOR,WI,53179-9260,08/24/2021,Paid in Full,41080,41080,"Lake Forest Bank & Trust Company, National Association",5,541990,Corporation,"Lake Forest Bank & Trust Company, National Association",41197.03,10/08/2020
6374327205,04/28/2020,RONALD KRIZAN,W8969 28th Street,Camp Douglas,WI,54618-0101,07/17/2021,Paid in Full,20246.42,41079.8,"Compeer Financial, ACA",4,111199,Sole Proprietorship,"Compeer Financial, ACA",41545.37,06/24/2021
4580689006,05/20/2021,ST. VINCENT DE PAUL PARISH,820 13th St S,Wisconsin Rapids,WI,54494-5336,01/07/2022,Paid in Full,41077,41077,Prevail Bank,6,813110,Non-Profit Organization,Prevail Bank,41308.63,12/20/2021
1917738004,06/23/2020,"G-BEAR ONE, LLC",2544 90TH ST,EAU CLAIRE,WI,54703-0178,01/13/2021,Paid in Full,41076,41076,"Associated Bank, National Association",6,713910,Corporation,"Associated Bank, National Association",41271.81,12/17/2020
3954357402,05/08/2020,AJ ELECTRIC HEATING & COOLING LLC,N4941 NORTH RD,BURLINGTON,WI,53105-3004,01/22/2021,Paid in Full,41075,41075,Citizens Bank,2,238210,Limited  Liability Company(LLC),Citizens Bank,41325.95,12/30/2020
5366928504,02/27/2021,VIRGIL DICKINSON,52279 Timothy Lane,Baraboo,WI,53913,09/15/2021,Paid in Full,41069,41069,Westby Co-op CU,1,452319,Sole Proprietorship,Westby Co-op CU,41264.08,08/23/2021
5077058507,02/27/2021,A PURPOSEFUL LIFE CHILDCARE CENTER LLC,7205 W Burleigh St,Milwaukee,WI,53210-1120,11/18/2022,Paid in Full,41065,41065,"U.S. Bank, National Association",8,624410,Subchapter S Corporation,"U.S. Bank, National Association",41739.15,10/14/2022
5407517010,04/05/2020,LEGLER CONCRETE LLC,209 HARMON AVE,BELLEVILLE,WI,53508-9341,03/24/2021,Paid in Full,41060.15,41060.15,The Bank of New Glarus,4,238110,Limited  Liability Company(LLC),The Bank of New Glarus,41406.88,02/04/2021
